ResumeID,Age,EducationLevel,FieldOfStudy,Domain,JobAppliedFor,SkillsListed,JobPostingSkillsRequired,ExperienceYears,Certifications,Shortlisted,Hired,AI_MatchScore,TopSkillGap,ResumeStyle,GenZ_Trait_Tags
R116,23,Master's,Life Sciences,Business,Business Analyst,"Clinical Trials, Excel, CSS, Canva","Canva, CSS, Clinical Trials, Excel, Illustrator",2.7,"None, Google UX Cert",1,1,77,Illustrator,ATS-friendly,"Fast Learner, Curious"
R117,25,Bachelor's,Finance,Business,Business Analyst,"GitHub, CSS, Canva, Illustrator","GitHub, Canva, Illustrator, CSS, Tailwind",0.7,"None, Meta Ads",1,0,81,Tailwind,ATS-friendly,"Side Hustler, Digital Native"
R118,24,Master's,Computer Science,Healthcare,Medical Writer,"Clinical Trials, Literature Review, Research, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.8,"Google Data Analytics, None",0,0,63,PubMed,Minimalist,"Curious, Multi-tasker"
R119,24,Master's,Business,Finance,Investment Associate,"CSS, SQL, Canva, Webflow, React","Webflow, CSS, React, Canva, SQL",1.0,"Google Data Analytics, Meta Ads",0,0,66,None,Infographic,"Trend-savvy, Curious"
R120,22,Bachelor's,Business,Finance,Risk Analyst,"CSS, SQL, Excel, Research, SQL","Research, SQL, SQL, CSS, Excel",2.2,"Meta Ads, Google Data Analytics",1,0,84,None,ATS-friendly,"Remote-ready, Fast Learner"
R121,23,Bachelor's,Design,Design,UX Designer,"JavaScript, Medical Writing, Excel","JavaScript, Literature Review, Research, Medical Writing, Excel",1.2,"Google Data Analytics, Meta Ads",1,1,78,Literature Review,Infographic,"Multi-tasker, Remote-ready"
R122,25,Bachelor's,Life Sciences,Design,UX Designer,"SQL, Clinical Trials, Tableau, Photoshop","Clinical Trials, SQL, Canva, Tableau, Photoshop",2.5,"Meta Ads, Google Data Analytics",1,1,92,Canva,Minimalist,"Multi-tasker, Digital Native"
R123,21,Bachelor's,Life Sciences,Business,Marketing Analyst,"Canva, SEO, SQL","Excel, Google Ads, SQL, Canva, SEO",2.5,"None, Google Data Analytics",1,1,81,Excel,ATS-friendly,"Fast Learner, Digital Native"
R124,21,Master's,Computer Science,Healthcare,Medical Writer,"PubMed, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",1.8,"Meta Ads, Google UX Cert",1,0,63,Literature Review,Minimalist,"Side Hustler, Digital Native"
R125,25,Master's,Finance,Technology,DevOps Engineer,"JavaScript, GitHub, CSS, Research, Medical Writing","JavaScript, Medical Writing, CSS, GitHub, Research",2.4,"Coursera SQL, Meta Ads",1,0,63,None,ATS-friendly,"Fast Learner, Trend-savvy"
R126,21,Bachelor's,Life Sciences,Healthcare,Pharma Sales Rep,"Photoshop, SEO, Excel, HTML","SEO, GitHub, Excel, HTML, Photoshop",0.8,"Meta Ads, Coursera SQL",0,0,92,GitHub,Visual,"Data-curious, Trend-savvy"
R127,23,Bachelor's,Computer Science,Healthcare,Medical Writer,"Research, Clinical Trials","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",1.3,"None, Meta Ads",1,1,79,PubMed,Infographic,"Multi-tasker, Data-curious"
R128,22,Master's,Finance,Healthcare,Medical Writer,"Literature Review, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",1.3,"Meta Ads, Coursera SQL",1,1,67,PubMed,Visual,"Fast Learner, Digital Native"
R129,21,Master's,Finance,Design,UX Designer,"JavaScript, GitHub","SQL, JavaScript, Google Ads, GitHub, SEO",1.3,"None, Google UX Cert",0,0,56,SQL,ATS-friendly,"Multi-tasker, Remote-ready"
R130,24,Master's,Life Sciences,Business,Business Analyst,"Figma, SQL, Tableau, React","SQL, Webflow, Figma, Tableau, React",0.9,"None, Google Data Analytics",0,1,78,Webflow,ATS-friendly,"Fast Learner, Digital Native"
R131,22,Bachelor's,Finance,Business,Business Analyst,"Canva, PubMed, Python, Research","Tailwind, Canva, PubMed, Python, Research",1.9,"Google Data Analytics, Google UX Cert",1,0,59,Tailwind,Infographic,"Fast Learner, Data-curious"
R132,21,Master's,Computer Science,Business,Business Analyst,"GitHub, Excel, PubMed","Research, Excel, GitHub, Clinical Trials, PubMed",2.2,"None, Meta Ads",0,0,73,Clinical Trials,Visual,"Remote-ready, Side Hustler"
R133,23,Master's,Business,Finance,Risk Analyst,"Medical Writing, Research, SQL, Canva","SEO, SQL, Research, Medical Writing, Canva",1.5,"Google UX Cert, None",0,0,84,SEO,Infographic,"Trend-savvy, Remote-ready"
R134,23,Master's,Life Sciences,Technology,Data Analyst,"Research, Tableau, Illustrator, SQL","Illustrator, Research, Tableau, SQL, Excel",2.3,"Meta Ads, None",1,1,66,Excel,Infographic,"Curious, Side Hustler"
R135,21,Bachelor's,Design,Design,Product Designer,"Webflow, Clinical Trials","Canva, JavaScript, Webflow, Finance Modelling, Clinical Trials",2.4,"Google UX Cert, Google Data Analytics",1,0,83,JavaScript,Minimalist,"Fast Learner, Multi-tasker"
R136,26,Master's,Design,Healthcare,Clinical Researcher,"GitHub, CSS, Canva, Photoshop","CSS, Medical Writing, GitHub, Photoshop, Canva",2.2,"Google UX Cert, None",0,1,57,Medical Writing,ATS-friendly,"Curious, Fast Learner"
R137,23,Master's,Business,Business,Business Analyst,"Tableau, GitHub, Python, Excel, Illustrator","Excel, Tableau, Python, GitHub, Illustrator",1.4,"None, Coursera SQL",1,1,76,None,Infographic,"Curious, Data-curious"
R138,22,Master's,Business,Technology,Data Analyst,"SQL, Medical Writing","CSS, SQL, Medical Writing, Python, GitHub",2.5,"Meta Ads, Google UX Cert",0,0,84,CSS,Infographic,"Curious, Fast Learner"
R139,22,Bachelor's,Business,Design,Visual Designer,"Figma, Canva, Illustrator, Photoshop, Webflow","Figma, Photoshop, Illustrator, Webflow, Canva",1.9,"Google UX Cert, Coursera SQL",1,1,86,None,Visual,"Multi-tasker, Remote-ready"
R140,22,Bachelor's,Business,Technology,Frontend Developer,"JavaScript, React, Tailwind, GitHub, HTML","HTML, CSS, JavaScript, React, Tailwind, GitHub",1.3,"Google UX Cert, Coursera SQL",1,0,92,CSS,Visual,"Multi-tasker, Trend-savvy"
R141,26,Master's,Life Sciences,Design,Visual Designer,"Photoshop, Illustrator, Figma, Canva, Webflow","Figma, Photoshop, Illustrator, Webflow, Canva",2.5,"None, Google UX Cert",0,0,67,None,Minimalist,"Digital Native, Trend-savvy"
R142,22,Master's,Finance,Design,Visual Designer,"Photoshop, Webflow","Figma, Photoshop, Illustrator, Webflow, Canva",1.6,"Meta Ads, None",0,1,68,Figma,Minimalist,"Side Hustler, Digital Native"
R143,24,Bachelor's,Design,Healthcare,Clinical Researcher,"Research, Excel, JavaScript, Medical Writing, Excel","Excel, Research, Medical Writing, Excel, JavaScript",0.7,"Google UX Cert, None",0,0,87,None,Minimalist,"Digital Native, Data-curious"
R144,21,Master's,Computer Science,Healthcare,Pharma Sales Rep,"Excel, Research, CSS","Tableau, Excel, Canva, CSS, Research",2.1,"Meta Ads, Coursera SQL",1,1,79,Tableau,Visual,"Digital Native, Data-curious"
R145,24,Bachelor's,Computer Science,Technology,Backend Developer,"Literature Review, Tailwind","Literature Review, Clinical Trials, CSS, Tailwind, Canva",2.7,"Meta Ads, Coursera SQL",0,1,86,Clinical Trials,Visual,"Multi-tasker, Fast Learner"
R146,22,Master's,Design,Design,Product Designer,"Canva, JavaScript, SQL, Excel, Figma","SQL, Excel, JavaScript, Figma, Canva",2.5,"Google Data Analytics, Coursera SQL",0,0,78,None,Visual,"Fast Learner, Side Hustler"
R147,26,Master's,Life Sciences,Finance,Financial Analyst,"SQL, Finance Modelling, Python","Excel, SQL, Tableau, Finance Modelling, Python",2.6,"Meta Ads, Google Data Analytics",0,1,68,Tableau,Minimalist,"Remote-ready, Fast Learner"
R148,25,Bachelor's,Finance,Finance,Financial Analyst,"Tableau, SQL","Excel, SQL, Tableau, Finance Modelling, Python",1.1,"Meta Ads, Google UX Cert",0,1,67,Finance Modelling,Minimalist,"Fast Learner, Multi-tasker"
R149,23,Master's,Computer Science,Technology,Data Analyst,"CSS, Figma, SQL, Illustrator, Research","Illustrator, Figma, CSS, Research, SQL",0.6,"None, Coursera SQL",0,0,62,None,Minimalist,"Curious, Data-curious"
R150,21,Bachelor's,Business,Technology,DevOps Engineer,"Canva, Medical Writing, Tableau, JavaScript","Medical Writing, Tableau, JavaScript, Canva, Google Ads",1.4,"Google Data Analytics, Meta Ads",0,1,87,Google Ads,Minimalist,"Trend-savvy, Data-curious"
R151,21,Bachelor's,Finance,Design,UX Designer,"SQL, Research","JavaScript, Clinical Trials, SQL, SQL, Research",0.6,"None, Google UX Cert",1,0,71,JavaScript,Infographic,"Multi-tasker, Side Hustler"
R152,21,Master's,Computer Science,Design,Visual Designer,"Canva, Webflow, Illustrator","Figma, Photoshop, Illustrator, Webflow, Canva",2.7,"Coursera SQL, Google Data Analytics",0,1,72,Figma,Minimalist,"Side Hustler, Trend-savvy"
R153,24,Bachelor's,Design,Healthcare,Pharma Sales Rep,"Tailwind, CSS, HTML","Google Ads, CSS, HTML, Excel, Tailwind",0.6,"Google UX Cert, Google Data Analytics",1,0,62,Excel,Minimalist,"Side Hustler, Digital Native"
R154,23,Bachelor's,Design,Healthcare,Clinical Researcher,"SQL, Illustrator, GitHub, Canva, Tableau","GitHub, SQL, Tableau, Illustrator, Canva",2.6,"Meta Ads, Coursera SQL",1,1,93,None,Minimalist,"Digital Native, Multi-tasker"
R155,23,Bachelor's,Life Sciences,Healthcare,Pharma Sales Rep,"Excel, HTML","Figma, Webflow, HTML, Excel, Canva",1.1,"Meta Ads, Google Data Analytics",0,1,68,Figma,ATS-friendly,"Trend-savvy, Multi-tasker"
R156,26,Bachelor's,Design,Healthcare,Medical Writer,"Literature Review, Research, Clinical Trials, PubMed, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",0.8,"Google Data Analytics, Coursera SQL",1,0,66,None,Minimalist,"Remote-ready, Side Hustler"
R157,21,Master's,Computer Science,Design,Product Designer,"HTML, React, Tailwind","Tailwind, Webflow, HTML, Canva, React",0.9,"None, Meta Ads",1,0,69,Webflow,Visual,"Fast Learner, Trend-savvy"
R158,25,Bachelor's,Business,Design,Visual Designer,"Webflow, Canva, Figma, Photoshop, Illustrator","Figma, Photoshop, Illustrator, Webflow, Canva",1.2,"Coursera SQL, Meta Ads",0,0,92,None,Minimalist,"Multi-tasker, Fast Learner"
R159,26,Master's,Computer Science,Design,UX Designer,"Literature Review, PubMed, Research, Canva","Research, CSS, PubMed, Literature Review, Canva",1.9,"Meta Ads, Google Data Analytics",1,1,87,CSS,Visual,"Digital Native, Trend-savvy"
R160,26,Master's,Life Sciences,Healthcare,Clinical Researcher,"Excel, Photoshop, Medical Writing, React, Clinical Trials","Medical Writing, React, Clinical Trials, Photoshop, Excel",2.3,"Coursera SQL, Google Data Analytics",0,1,85,None,Visual,"Curious, Multi-tasker"
R161,26,Bachelor's,Business,Design,Visual Designer,"Illustrator, Figma, Photoshop, Webflow, Canva","Figma, Photoshop, Illustrator, Webflow, Canva",1.9,"Coursera SQL, Meta Ads",0,0,81,None,Minimalist,"Side Hustler, Digital Native"
R162,26,Master's,Computer Science,Business,Business Analyst,"JavaScript, Research, CSS","React, JavaScript, Figma, Research, CSS",2.9,"None, Google Data Analytics",0,0,80,Figma,Infographic,"Multi-tasker, Fast Learner"
R163,25,Bachelor's,Design,Healthcare,Pharma Sales Rep,"Finance Modelling, JavaScript, Illustrator, Excel, Webflow","Illustrator, JavaScript, Excel, Webflow, Finance Modelling",0.9,"Meta Ads, Google Data Analytics",0,1,65,None,Visual,"Fast Learner, Trend-savvy"
R164,21,Master's,Business,Business,Marketing Analyst,"Google Ads, SQL, SEO, Excel, Canva","Excel, Google Ads, SQL, Canva, SEO",2.6,"Google Data Analytics, None",1,0,72,None,Minimalist,"Curious, Trend-savvy"
R165,24,Bachelor's,Finance,Healthcare,Medical Writer,"Medical Writing, Clinical Trials, Research, PubMed, Literature Review","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.1,"Google Data Analytics, None",0,0,65,None,ATS-friendly,"Multi-tasker, Fast Learner"
R166,24,Master's,Finance,Healthcare,Pharma Sales Rep,"SEO, Illustrator, Literature Review, JavaScript","SEO, JavaScript, Literature Review, React, Illustrator",2.3,"Coursera SQL, Meta Ads",1,1,57,React,Visual,"Curious, Digital Native"
R167,23,Master's,Computer Science,Healthcare,Clinical Researcher,"Research, PubMed","SQL, Finance Modelling, PubMed, Literature Review, Research",1.8,"Meta Ads, Coursera SQL",0,1,61,SQL,ATS-friendly,"Remote-ready, Side Hustler"
R168,26,Master's,Life Sciences,Technology,DevOps Engineer,"SEO, GitHub, HTML, Illustrator","GitHub, SQL, HTML, Illustrator, SEO",3.0,"Coursera SQL, Meta Ads",1,1,63,SQL,Infographic,"Trend-savvy, Curious"
R169,22,Master's,Business,Technology,Data Analyst,"Excel, Excel","Tailwind, SQL, Tableau, Excel, Excel",1.4,"Google UX Cert, Meta Ads",1,1,54,SQL,Minimalist,"Curious, Multi-tasker"
R170,24,Master's,Design,Healthcare,Medical Writer,"Medical Writing, Literature Review, Clinical Trials, Research","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.3,"Google Data Analytics, Meta Ads",0,0,71,PubMed,Infographic,"Remote-ready, Trend-savvy"
R171,22,Master's,Life Sciences,Finance,Investment Associate,"Tableau, Tailwind","Research, Figma, Finance Modelling, Tableau, Tailwind",1.1,"Google Data Analytics, None",0,1,84,Figma,ATS-friendly,"Trend-savvy, Remote-ready"
R172,22,Bachelor's,Computer Science,Business,Marketing Analyst,"SEO, Excel, Google Ads","Excel, Google Ads, SQL, Canva, SEO",1.3,"Google Data Analytics, Meta Ads",0,1,58,SQL,Infographic,"Side Hustler, Multi-tasker"
R173,26,Bachelor's,Business,Technology,Frontend Developer,"Tailwind, CSS, React, JavaScript, HTML","HTML, CSS, JavaScript, React, Tailwind, GitHub",2.6,"Google Data Analytics, Coursera SQL",1,1,78,GitHub,Infographic,"Fast Learner, Data-curious"
R174,21,Master's,Finance,Finance,Risk Analyst,"JavaScript, Figma","JavaScript, GitHub, Figma, Literature Review, Clinical Trials",0.9,"Google Data Analytics, None",1,0,57,Literature Review,Minimalist,"Trend-savvy, Digital Native"
R175,25,Bachelor's,Business,Finance,Financial Analyst,"Tableau, Python, Finance Modelling, Excel, SQL","Excel, SQL, Tableau, Finance Modelling, Python",0.6,"Google Data Analytics, Coursera SQL",1,0,67,None,Minimalist,"Data-curious, Multi-tasker"
R176,22,Bachelor's,Business,Design,Visual Designer,"Illustrator, Figma","Figma, Photoshop, Illustrator, Webflow, Canva",1.9,"Google Data Analytics, None",1,0,86,Webflow,Minimalist,"Remote-ready, Data-curious"
R177,23,Bachelor's,Business,Business,Business Analyst,"Illustrator, Python, Clinical Trials","Excel, Illustrator, Photoshop, Python, Clinical Trials",2.6,"Google Data Analytics, Google UX Cert",1,0,75,Excel,Minimalist,"Digital Native, Side Hustler"
R178,25,Bachelor's,Computer Science,Finance,Risk Analyst,"Excel, Literature Review","GitHub, Literature Review, Figma, Excel, Tableau",1.1,"Google Data Analytics, Meta Ads",1,1,84,Figma,Minimalist,"Data-curious, Fast Learner"
R179,25,Master's,Life Sciences,Finance,Investment Associate,"Canva, Illustrator, Webflow, Excel, Python","Excel, Python, Webflow, Canva, Illustrator",0.6,"None, Google Data Analytics",1,1,83,None,Minimalist,"Curious, Side Hustler"
R180,26,Bachelor's,Business,Healthcare,Medical Writer,"Medical Writing, PubMed, Literature Review","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.2,"Google Data Analytics, Meta Ads",1,1,85,Clinical Trials,Minimalist,"Curious, Data-curious"
R181,24,Bachelor's,Business,Design,Product Designer,"JavaScript, React, GitHub, Clinical Trials","Medical Writing, React, GitHub, Clinical Trials, JavaScript",0.6,"None, Coursera SQL",1,1,64,Medical Writing,Visual,"Trend-savvy, Side Hustler"
R182,25,Bachelor's,Finance,Business,Marketing Analyst,"Canva, SEO, Google Ads, Excel","Excel, Google Ads, SQL, Canva, SEO",2.0,"Google UX Cert, Google Data Analytics",0,1,63,SQL,Minimalist,"Digital Native, Curious"
R183,26,Master's,Design,Technology,Frontend Developer,"React, GitHub, HTML","HTML, CSS, JavaScript, React, Tailwind, GitHub",0.6,"Google Data Analytics, Meta Ads",1,0,52,JavaScript,Visual,"Curious, Multi-tasker"
R184,21,Bachelor's,Finance,Technology,Data Analyst,"Figma, Medical Writing","Medical Writing, Figma, GitHub, Excel, HTML",1.7,"Google UX Cert, Meta Ads",0,1,70,Excel,Minimalist,"Trend-savvy, Remote-ready"
R185,24,Bachelor's,Finance,Healthcare,Clinical Researcher,"Figma, Research, Webflow","Webflow, Excel, Research, Figma, SQL",0.7,"Google UX Cert, None",0,1,81,SQL,Visual,"Data-curious, Side Hustler"
R186,24,Bachelor's,Finance,Technology,Backend Developer,"Literature Review, CSS, Research, SQL","Clinical Trials, SQL, Research, CSS, Literature Review",1.5,"Meta Ads, None",0,1,66,Clinical Trials,Minimalist,"Fast Learner, Side Hustler"
R187,26,Bachelor's,Design,Business,Business Analyst,"CSS, Excel, SEO, Finance Modelling, Excel","Excel, SEO, CSS, Finance Modelling, Excel",2.5,"Coursera SQL, None",1,0,90,None,ATS-friendly,"Multi-tasker, Data-curious"
R188,21,Bachelor's,Business,Technology,Backend Developer,"Clinical Trials, Excel, JavaScript","JavaScript, Canva, Excel, Clinical Trials, HTML",0.7,"Google Data Analytics, Coursera SQL",0,0,60,Canva,Infographic,"Remote-ready, Side Hustler"
R189,25,Bachelor's,Life Sciences,Design,Product Designer,"Tableau, SQL, Webflow","CSS, Illustrator, Tableau, Webflow, SQL",2.1,"Google UX Cert, Coursera SQL",0,1,69,Illustrator,Visual,"Curious, Multi-tasker"
R190,24,Master's,Design,Finance,Risk Analyst,"Webflow, Clinical Trials","Python, React, Clinical Trials, Webflow, Tableau",2.6,"Meta Ads, Google Data Analytics",1,1,54,React,ATS-friendly,"Trend-savvy, Multi-tasker"
R191,22,Master's,Design,Technology,Backend Developer,"Excel, Research","SEO, Tableau, Research, Excel, Illustrator",1.4,"Google Data Analytics, None",0,0,54,Illustrator,Minimalist,"Remote-ready, Side Hustler"
R192,22,Master's,Computer Science,Healthcare,Clinical Researcher,"Figma, Clinical Trials, GitHub","SEO, JavaScript, GitHub, Clinical Trials, Figma",2.3,"Meta Ads, Google UX Cert",1,0,78,JavaScript,Visual,"Side Hustler, Fast Learner"
R193,22,Master's,Design,Business,Sales Associate,"Canva, Illustrator","Canva, PubMed, Illustrator, Canva, Google Ads",1.5,"Google Data Analytics, Meta Ads",0,0,69,PubMed,Infographic,"Curious, Remote-ready"
R194,22,Master's,Finance,Business,Sales Associate,"SQL, Excel, Medical Writing","Excel, Medical Writing, Canva, Finance Modelling, SQL",0.6,"Coursera SQL, Google Data Analytics",1,1,62,Finance Modelling,Minimalist,"Remote-ready, Curious"
R195,22,Master's,Design,Design,Product Designer,"SQL, Canva, Photoshop","Excel, Canva, Photoshop, SQL, GitHub",0.8,"Google UX Cert, Meta Ads",0,0,65,Excel,Infographic,"Trend-savvy, Curious"
R196,26,Master's,Life Sciences,Finance,Investment Associate,"Medical Writing, React, Research","Research, GitHub, Medical Writing, HTML, React",1.7,"None, Coursera SQL",0,0,59,HTML,Minimalist,"Data-curious, Multi-tasker"
R197,26,Master's,Business,Design,Visual Designer,"Photoshop, Illustrator, Canva, Figma","Figma, Photoshop, Illustrator, Webflow, Canva",1.7,"Google Data Analytics, Coursera SQL",1,0,92,Webflow,Minimalist,"Curious, Trend-savvy"
R198,25,Bachelor's,Business,Healthcare,Clinical Researcher,"Tableau, Tailwind","Photoshop, Tableau, Webflow, Tailwind, Research",0.5,"Meta Ads, None",0,1,52,Webflow,Infographic,"Data-curious, Trend-savvy"
R199,24,Bachelor's,Business,Technology,Backend Developer,"Figma, React, SQL","React, Google Ads, SQL, Literature Review, Figma",0.6,"Coursera SQL, Google UX Cert",1,0,59,Literature Review,Visual,"Trend-savvy, Curious"
R200,23,Master's,Business,Design,UX Designer,"Tailwind, JavaScript","Python, HTML, JavaScript, Tailwind, Medical Writing",2.5,"Google UX Cert, Coursera SQL",0,0,73,Medical Writing,Minimalist,"Side Hustler, Trend-savvy"
R201,24,Bachelor's,Finance,Finance,Investment Associate,"Clinical Trials, HTML, Google Ads, Excel","HTML, Google Ads, Clinical Trials, Excel, CSS",1.5,"Meta Ads, Google Data Analytics",0,1,59,CSS,Infographic,"Multi-tasker, Digital Native"
R202,23,Master's,Computer Science,Design,Visual Designer,"Photoshop, Canva, Figma, Webflow","Figma, Photoshop, Illustrator, Webflow, Canva",1.1,"Google Data Analytics, Google UX Cert",1,0,75,Illustrator,ATS-friendly,"Remote-ready, Curious"
R203,21,Master's,Design,Healthcare,Clinical Researcher,"Canva, Research, CSS","Research, Canva, Medical Writing, CSS, Finance Modelling",2.5,"Coursera SQL, Google Data Analytics",1,0,66,Finance Modelling,Minimalist,"Digital Native, Trend-savvy"
R204,23,Master's,Finance,Finance,Risk Analyst,"JavaScript, Excel, Figma, SQL, Illustrator","JavaScript, Figma, SQL, Illustrator, Excel",1.8,"Coursera SQL, Google UX Cert",0,1,88,None,Infographic,"Side Hustler, Remote-ready"
R205,24,Master's,Business,Design,Visual Designer,"Photoshop, Canva","Figma, Photoshop, Illustrator, Webflow, Canva",0.9,"Google Data Analytics, Meta Ads",1,0,64,Figma,Infographic,"Fast Learner, Curious"
R206,23,Bachelor's,Business,Finance,Financial Analyst,"Excel, Python, Tableau","Excel, SQL, Tableau, Finance Modelling, Python",2.0,"Google Data Analytics, None",1,1,80,SQL,Minimalist,"Multi-tasker, Trend-savvy"
R207,25,Bachelor's,Finance,Finance,Investment Associate,"Canva, Literature Review, Tableau, Medical Writing","Tableau, Google Ads, Canva, Medical Writing, Literature Review",2.1,"None, Google UX Cert",0,0,76,Google Ads,Visual,"Curious, Side Hustler"
R208,23,Master's,Business,Technology,Backend Developer,"PubMed, Canva, Canva, Figma, GitHub","PubMed, Canva, Canva, Figma, GitHub",2.4,"Google UX Cert, Coursera SQL",0,0,95,None,Infographic,"Fast Learner, Remote-ready"
R209,24,Bachelor's,Computer Science,Healthcare,Pharma Sales Rep,"Excel, Research, SQL, Python, Webflow","SQL, Python, Excel, Research, Webflow",1.9,"Google Data Analytics, Meta Ads",1,1,82,None,Infographic,"Multi-tasker, Side Hustler"
R210,22,Bachelor's,Finance,Design,Visual Designer,"Canva, Figma, Photoshop, Webflow, Illustrator","Figma, Photoshop, Illustrator, Webflow, Canva",2.0,"None, Google UX Cert",1,0,68,None,ATS-friendly,"Curious, Fast Learner"
R211,26,Bachelor's,Life Sciences,Design,Visual Designer,"Webflow, Photoshop, Figma, Illustrator","Figma, Photoshop, Illustrator, Webflow, Canva",1.2,"None, Meta Ads",1,0,87,Canva,Visual,"Fast Learner, Trend-savvy"
R212,23,Master's,Computer Science,Business,Marketing Analyst,"SQL, Canva, Excel, Google Ads","Excel, Google Ads, SQL, Canva, SEO",2.5,"Meta Ads, Google Data Analytics",1,0,88,SEO,Visual,"Multi-tasker, Remote-ready"
R213,24,Master's,Finance,Design,Product Designer,"Canva, Excel, Photoshop","Photoshop, Canva, Research, Figma, Excel",1.4,"Coursera SQL, Meta Ads",1,0,86,Figma,Minimalist,"Remote-ready, Multi-tasker"
R214,25,Bachelor's,Design,Design,Visual Designer,"Figma, Illustrator, Webflow, Canva","Figma, Photoshop, Illustrator, Webflow, Canva",1.9,"None, Meta Ads",0,0,64,Photoshop,ATS-friendly,"Multi-tasker, Curious"
R215,23,Bachelor's,Computer Science,Business,Sales Associate,"SQL, Python","Canva, SQL, JavaScript, Python, Clinical Trials",1.4,"Coursera SQL, None",0,0,66,JavaScript,ATS-friendly,"Data-curious, Digital Native"
R216,22,Bachelor's,Design,Design,Product Designer,"Illustrator, CSS, React","CSS, Illustrator, HTML, React, Photoshop",1.3,"None, Meta Ads",1,1,54,HTML,Visual,"Digital Native, Data-curious"
R217,24,Master's,Finance,Business,Sales Associate,"SQL, CSS","Finance Modelling, CSS, Literature Review, SQL, Canva",2.2,"Meta Ads, None",0,1,86,Literature Review,Visual,"Fast Learner, Digital Native"
R218,22,Master's,Finance,Design,Product Designer,"JavaScript, Medical Writing, Tableau, React, Excel","Tableau, Medical Writing, Excel, JavaScript, React",1.8,"Google UX Cert, Google Data Analytics",1,0,86,None,Infographic,"Digital Native, Curious"
R219,25,Bachelor's,Design,Technology,Backend Developer,"Finance Modelling, SQL","Webflow, SQL, Finance Modelling, Google Ads, Figma",1.7,"Coursera SQL, Google UX Cert",1,1,57,Figma,Infographic,"Digital Native, Remote-ready"
R220,25,Master's,Design,Finance,Risk Analyst,"PubMed, Tableau, Webflow, Literature Review, Tailwind","Webflow, Tableau, Tailwind, Literature Review, PubMed",2.1,"Google Data Analytics, Coursera SQL",0,0,72,None,Minimalist,"Trend-savvy, Data-curious"
R221,26,Bachelor's,Business,Healthcare,Medical Writer,"PubMed, Clinical Trials, Literature Review, Research","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",0.6,"Google UX Cert, Coursera SQL",1,1,65,Medical Writing,Infographic,"Multi-tasker, Side Hustler"
R222,22,Master's,Computer Science,Business,Marketing Analyst,"Canva, Google Ads, SEO, SQL, Excel","Excel, Google Ads, SQL, Canva, SEO",2.9,"Coursera SQL, Google Data Analytics",0,0,83,None,Infographic,"Fast Learner, Digital Native"
R223,23,Master's,Design,Business,Business Analyst,"Tableau, CSS, SQL, SQL","SQL, SQL, Google Ads, Tableau, CSS",1.2,"Google Data Analytics, None",0,0,88,Google Ads,ATS-friendly,"Trend-savvy, Data-curious"
R224,25,Bachelor's,Life Sciences,Business,Business Analyst,"Canva, Research, Clinical Trials, Python, React","Research, React, Canva, Python, Clinical Trials",2.3,"Meta Ads, None",0,1,91,None,ATS-friendly,"Fast Learner, Side Hustler"
R225,22,Master's,Computer Science,Healthcare,Clinical Researcher,"Illustrator, Photoshop, Finance Modelling, Literature Review, SQL","Photoshop, SQL, Illustrator, Finance Modelling, Literature Review",1.6,"Meta Ads, None",1,1,84,None,Infographic,"Trend-savvy, Curious"
R226,25,Bachelor's,Finance,Business,Marketing Analyst,"SEO, Excel","Excel, Google Ads, SQL, Canva, SEO",1.7,"Meta Ads, None",1,1,66,SQL,Visual,"Remote-ready, Digital Native"
R227,21,Bachelor's,Computer Science,Design,Visual Designer,"Figma, Photoshop, Webflow, Canva, Illustrator","Figma, Photoshop, Illustrator, Webflow, Canva",2.9,"Google UX Cert, Google Data Analytics",1,1,75,None,Infographic,"Digital Native, Fast Learner"
R228,23,Master's,Design,Healthcare,Pharma Sales Rep,"Photoshop, Illustrator, Medical Writing, Excel, Tailwind","Medical Writing, Photoshop, Excel, Tailwind, Illustrator",1.5,"None, Meta Ads",0,0,60,None,Visual,"Data-curious, Curious"
R229,25,Master's,Computer Science,Business,Business Analyst,"Excel, Python, JavaScript, Excel","Excel, Python, Excel, JavaScript, GitHub",2.9,"Google Data Analytics, None",1,0,72,GitHub,Infographic,"Digital Native, Curious"
R230,21,Bachelor's,Finance,Technology,Frontend Developer,"Tailwind, GitHub","HTML, CSS, JavaScript, React, Tailwind, GitHub",2.3,"Coursera SQL, Meta Ads",0,0,83,CSS,ATS-friendly,"Fast Learner, Curious"
R231,24,Master's,Design,Business,Sales Associate,"Google Ads, GitHub, JavaScript","React, Google Ads, JavaScript, Tableau, GitHub",2.2,"Coursera SQL, Meta Ads",0,0,83,React,Minimalist,"Curious, Remote-ready"
